1,1,538,636,75,35
1,2,442,589,41,73
1,3,494,634,72,46
1,4,414,530,83,67
1,5,416,627,40,54
2,1,541,639,74,33
2,2,442,588,41,73
2,3,493,637,74,43
2,4,415,529,83,67
2,5,417,625,38,56
3,1,544,641,74,30
3,2,441,586,41,73
3,3,490,637,72,42
3,4,417,528,83,67
3,5,418,621,32,60
4,1,546,645,74,27
4,2,441,584,41,73
4,3,488,637,71,41
4,4,416,528,85,62
4,5,418,618,30,63
5,1,548,648,74,23
5,2,440,583,41,73
5,3,486,634,71,43
5,4,417,526,85,63
5,5,418,615,28,66
6,1,549,648,75,24
6,2,440,580,39,75
6,3,485,631,71,45
6,4,418,526,85,62
6,5,418,613,29,68
7,1,550,647,76,25
7,2,443,576,36,78
7,3,484,631,69,45
7,4,419,524,85,62
7,5,418,611,30,70
8,1,552,646,75,26
8,2,443,576,37,73
8,3,482,631,67,45
8,4,419,524,85,62
8,5,418,610,31,71
9,1,555,645,74,27
9,2,443,576,38,68
9,3,481,634,69,43
9,4,421,522,85,62
9,5,417,607,32,73
10,1,555,644,75,27
10,2,442,575,35,65
10,3,480,636,71,41
10,4,422,522,86,61
10,5,418,605,32,74
11,1,555,644,76,28
11,2,440,574,33,63
11,3,479,640,71,38
11,4,423,521,86,60
11,5,419,604,32,76
12,1,556,643,77,29
12,2,439,574,34,61
12,3,477,643,72,34
12,4,424,520,86,60
12,5,419,603,32,77
13,1,557,642,78,31
13,2,438,573,35,59
13,3,475,642,70,35
13,4,424,519,87,60
13,5,418,604,33,76
14,1,558,641,78,32
14,2,438,572,38,59
14,3,473,641,68,36
14,4,426,518,87,60
14,5,417,603,34,77
15,1,559,640,78,34
15,2,437,571,40,59
15,3,471,639,67,36
15,4,427,517,86,60
15,5,415,604,36,76
16,1,561,640,78,34
16,2,436,570,42,57
16,3,469,636,66,37
16,4,428,517,87,59
16,5,414,605,38,75
17,1,562,639,78,35
17,2,435,569,45,55
17,3,467,635,66,38
17,4,428,516,87,58
17,5,415,604,38,75
18,1,564,638,77,36
18,2,433,567,49,56
18,3,465,633,66,39
18,4,429,515,88,58
18,5,415,604,38,75
19,1,566,638,77,37
19,2,431,566,52,54
19,3,464,634,66,38
19,4,429,514,89,58
19,5,417,603,36,76
20,1,568,637,76,38
20,2,431,565,54,54
20,3,463,634,66,38
20,4,430,513,89,57
20,5,419,603,34,77
21,1,569,636,75,38
21,2,430,564,56,54
21,3,462,637,68,35
21,4,431,513,89,55
21,5,420,602,34,77
22,1,571,636,75,38
22,2,430,564,58,50
22,3,461,639,69,32
22,4,432,512,89,55
22,5,421,601,33,78
23,1,572,635,75,39
23,2,429,563,60,49
23,3,459,642,70,30
23,4,433,511,89,55
23,5,420,603,34,77
24,1,574,635,74,40
24,2,428,562,62,48
24,3,458,644,70,28
24,4,434,510,89,55
24,5,418,604,36,75
