1,1,779,366,82,25
1,2,837,463,42,67
2,1,776,367,83,25
2,2,837,464,42,66
3,1,772,367,84,26
3,2,837,465,42,66
4,1,769,367,84,27
4,2,836,466,43,66
5,1,766,368,84,27
5,2,835,467,43,66
6,1,763,368,84,27
6,2,834,467,43,66
7,1,761,369,82,27
7,2,834,468,43,66
8,1,758,369,82,27
8,2,834,469,43,66
9,1,756,369,82,27
9,2,834,470,43,66
10,1,754,370,81,27
10,2,833,471,44,66
11,1,751,371,80,27
11,2,833,472,44,66
12,1,749,371,80,27
12,2,832,473,44,66
13,1,747,372,80,27
13,2,832,474,44,66
14,1,745,372,80,27
14,2,832,474,44,66
15,1,742,372,79,28
15,2,832,475,44,66
16,1,740,373,79,28
16,2,833,478,44,64
17,1,738,373,79,28
17,2,833,481,44,63
18,1,736,373,80,28
18,2,834,484,44,61
19,1,734,373,80,29
19,2,834,486,44,60
20,1,732,374,77,29
20,2,833,489,44,59
21,1,730,373,79,30
21,2,833,491,44,58
22,1,728,374,79,30
22,2,833,491,42,59
23,1,726,374,78,31
23,2,833,491,41,60
24,1,724,374,79,31
24,2,833,490,41,62
25,1,722,374,79,32
25,2,832,490,40,64
26,1,720,374,79,32
26,2,832,489,38,66
27,1,718,374,79,32
27,2,832,488,37,67
28,1,717,374,78,33
28,2,831,488,37,69
29,1,715,375,78,33
29,2,831,488,37,70
30,1,714,375,77,33
30,2,831,489,37,71
31,1,712,375,77,33
31,2,831,489,37,72
32,1,711,375,77,33
32,2,831,489,36,73
33,1,709,375,78,33
33,2,831,490,35,73
34,1,707,376,77,34
34,2,831,490,36,73
35,1,706,376,76,34
35,2,831,491,35,73
36,1,705,376,76,34
36,2,831,492,34,73
37,1,704,379,73,32
37,2,831,493,33,72
38,1,706,382,66,36
38,2,830,494,33,73
39,1,709,386,65,37
39,2,830,495,33,72
40,1,711,384,55,44
40,2,830,495,33,73
41,1,713,382,48,49
41,2,829,496,32,73
42,1,713,379,41,56
42,2,829,496,31,73
43,1,713,377,40,61
43,2,828,497,30,73
44,1,714,375,30,67
44,2,826,499,30,70
45,1,713,374,24,70
45,2,823,502,31,67
46,1,713,373,18,74
46,2,820,504,32,64
47,1,713,372,16,78
47,2,819,505,34,63
48,1,714,374,16,79
48,2,818,507,35,62
49,1,714,374,16,81
